filename,x,y,x2,y2,class
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,618,87,828,694,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,1503,315,1581,444,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,1785,319,1909,507,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,1716,317,1828,484,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,1567,334,1648,449,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,826,246,864,361,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_45_40_000.jpg,1008,245,1040,342,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_15_22_000.jpg,1553,233,1686,596,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_15_22_000.jpg,637,191,820,697,person
/content/drive/MyDrive/TFM/OriginalInput/Ayagaures_frame_18_15_22_000.jpg,819,237,864,372,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_04_000.jpg,678,249,853,624,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_04_000.jpg,1223,352,1320,581,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_04_000.jpg,1307,344,1397,576,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_10_000.jpg,1104,222,1261,651,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_10_000.jpg,1461,61,1821,1051,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_10_000.jpg,666,234,801,630,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_10_000.jpg,1218,258,1342,620,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_28_10_000.jpg,864,270,1027,672,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_44_35_000.jpg,1000,156,1186,725,person
/content/drive/MyDrive/TFM/OriginalInput/Arucas_frame_01_44_35_000.jpg,1147,8,1651,1061,person
